127.0.0.1 - - [23/May/2023:09:39:18 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [23/May/2023:09:39:19 +0900] "GET /k20230515_1_javascript/32_javascript_checkbox.html HTTP/1.1" 200 720
0:0:0:0:0:0:0:1 - - [23/May/2023:09:39:19 +0900] "GET /k20230515_1_javascript/js/javascript32.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2023:09:39:19 +0900] "GET /k20230515_1_javascript/css/javascript32.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2023:09:39:19 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/May/2023:09:40:01 +0900] "GET /k20230515_1_javascript/32_javascript_checkbox.html HTTP/1.1" 200 715
0:0:0:0:0:0:0:1 - - [23/May/2023:09:41:06 +0900] "GET /k20230515_1_javascript/32_javascript_checkbox.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2023:09:42:54 +0900] "GET /k20230515_1_javascript/32_javascript_checkbox.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2023:09:42:55 +0900] "GET /k20230515_1_javascript/32_javascript_checkbox.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2023:09:42:55 +0900] "GET /k20230515_1_javascript/32_javascript_checkbox.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2023:09:42:57 +0900] "GET /k20230515_1_javascript/32_javascript_checkbox.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2023:09:42:57 +0900] "GET /k20230515_1_javascript/32_javascript_checkbox.html HTTP/1.1" 200 715
0:0:0:0:0:0:0:1 - - [23/May/2023:09:42:57 +0900] "GET /k20230515_1_javascript/js/javascript32.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/May/2023:09:42:57 +0900] "GET /k20230515_1_javascript/css/javascript32.css HTTP/1.1" 200 478
0:0:0:0:0:0:0:1 - - [23/May/2023:09:42:57 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/May/2023:09:45:54 +0900] "GET /k20230515_1_javascript/32_javascript_checkbox.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2023:09:45:54 +0900] "GET /k20230515_1_javascript/css/javascript32.css HTTP/1.1" 200 449
0:0:0:0:0:0:0:1 - - [23/May/2023:09:45:54 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/May/2023:09:52:26 +0900] "GET /k20230515_1_javascript/32_javascript_checkbox.html HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [23/May/2023:09:52:26 +0900] "GET /k20230515_1_javascript/css/javascript32.css HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [23/May/2023:09:52:26 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/May/2023:09:52:49 +0900] "GET /k20230515_1_javascript/32_javascript_checkbox.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2023:09:52:49 +0900] "GET /k20230515_1_javascript/css/javascript32.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2023:09:52:49 +0900] "GET /k20230515_1_javascript/32_javascript_checkbox.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2023:09:52:49 +0900] "GET /k20230515_1_javascript/32_javascript_checkbox.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2023:09:52:51 +0900] "GET /k20230515_1_javascript/32_javascript_checkbox.html HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [23/May/2023:09:52:51 +0900] "GET /k20230515_1_javascript/css/javascript32.css HTTP/1.1" 200 448
