127.0.0.1 - - [09/Aug/2023:14:58:59 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [09/Aug/2023:14:59:00 +0900] "GET /meokjang/listView.jsp HTTP/1.1" 200 10124
0:0:0:0:0:0:0:1 - - [09/Aug/2023:14:59:00 +0900] "GET /meokjang/common/style.css HTTP/1.1" 200 24261
0:0:0:0:0:0:0:1 - - [09/Aug/2023:14:59:00 +0900] "GET /meokjang/common/owl-carousel/owl.theme.default.min.css HTTP/1.1" 200 1013
0:0:0:0:0:0:0:1 - - [09/Aug/2023:14:59:00 +0900] "GET /meokjang/common/owl-carousel/owl.carousel.min.css HTTP/1.1" 200 3351
0:0:0:0:0:0:0:1 - - [09/Aug/2023:14:59:00 +0900] "GET /meokjang/common/jquery-3.7.0.js HTTP/1.1" 200 284996
0:0:0:0:0:0:0:1 - - [09/Aug/2023:14:59:00 +0900] "GET /meokjang/common/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 140421
0:0:0:0:0:0:0:1 - - [09/Aug/2023:14:59:00 +0900] "GET /meokjang/common/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 50676
0:0:0:0:0:0:0:1 - - [09/Aug/2023:14:59:00 +0900] "GET /meokjang/common/slick-carousel/slick-theme.css HTTP/1.1" 200 3145
0:0:0:0:0:0:0:1 - - [09/Aug/2023:14:59:00 +0900] "GET /meokjang/common/themify-icons.css HTTP/1.1" 200 16403
0:0:0:0:0:0:0:1 - - [09/Aug/2023:14:59:00 +0900] "GET /meokjang/common/magnific-popup/magnific-popup.css HTTP/1.1" 200 7793
0:0:0:0:0:0:0:1 - - [09/Aug/2023:14:59:00 +0900] "GET /meokjang/common/slick-carousel/slick.css HTTP/1.1" 200 1776
0:0:0:0:0:0:0:1 - - [09/Aug/2023:14:59:00 +0900] "GET /meokjang/common/bootstrap/js/popper.min.js HTTP/1.1" 200 21004
0:0:0:0:0:0:0:1 - - [09/Aug/2023:14:59:00 +0900] "GET /meokjang/common/slick-carousel/slick.min.js HTTP/1.1" 200 42863
0:0:0:0:0:0:0:1 - - [09/Aug/2023:14:59:00 +0900] "GET /meokjang/src/main/webapp/js/loginCheck.js HTTP/1.1" 404 868
0:0:0:0:0:0:0:1 - - [09/Aug/2023:14:59:00 +0900] "GET /meokjang/common/owl-carousel/owl.carousel.min.js HTTP/1.1" 200 44342
0:0:0:0:0:0:0:1 - - [09/Aug/2023:14:59:00 +0900] "GET /meokjang/common/magnific-popup/magnific-popup.js HTTP/1.1" 200 21143
0:0:0:0:0:0:0:1 - - [09/Aug/2023:14:59:00 +0900] "GET /meokjang/js/loginCheck.js HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [09/Aug/2023:14:59:00 +0900] "GET /meokjang/common/custom.js HTTP/1.1" 200 3436
0:0:0:0:0:0:0:1 - - [09/Aug/2023:14:59:00 +0900] "GET /meokjang/images/logo.png HTTP/1.1" 200 2931
0:0:0:0:0:0:0:1 - - [09/Aug/2023:14:59:00 +0900] "GET /meokjang/common/slick-carousel/ajax-loader.gif HTTP/1.1" 200 4178
0:0:0:0:0:0:0:1 - - [09/Aug/2023:14:59:00 +0900] "GET /meokjang/common/slick-carousel/fonts/slick.woff HTTP/1.1" 200 1380
0:0:0:0:0:0:0:1 - - [09/Aug/2023:14:59:00 +0900] "GET /meokjang/images/favicon.png HTTP/1.1" 200 1872
0:0:0:0:0:0:0:1 - - [09/Aug/2023:14:59:20 +0900] "GET /meokjang/login-register/member.jsp HTTP/1.1" 200 13084
0:0:0:0:0:0:0:1 - - [09/Aug/2023:14:59:20 +0900] "GET /meokjang/js/member.js HTTP/1.1" 200 11501
0:0:0:0:0:0:0:1 - - [09/Aug/2023:14:59:20 +0900] "GET /meokjang/css/member.css HTTP/1.1" 200 1147
0:0:0:0:0:0:0:1 - - [09/Aug/2023:14:59:26 +0900] "GET /meokjang/MemberServlet?ID=asd1111 HTTP/1.1" 200 1
